QID,domain,subdomain,question,imageURL,options,answer,explaination
807,Coordination Compounds,Werner's Theory,What was the term proposed by Werner for the number of groups bound directly to the metal ion in a coordination complex?,0,"['Primary valence', 'Secondary valence', 'Oxidation number', 'Polyhedra']",b,Primary valence of a metal ion is also known as its oxidation number. The secondary valence is equal to coordination number and it is fixed for a metal. Coordination polyhedra is the term for the spatial arrangements of the groups/ions around the metal.
808,Coordination Compounds,Werner's Theory,What is the colour of the compound CoCl<sub>3</sub>.5NH<sub>3</sub>?,0,"['Yellow', 'Purple', 'Green', 'Violet']",b,"The different compounds of cobalt(III) chloride with ammonia show distinct properties, most notably with respect to colour and conductivity measurements in solution."
809,Coordination Compounds,Werner's Theory,"If the secondary valence in CoCl<sub>3</sub>.4NH<sub>3</sub> is six, the solution conductivity in silver nitrate corresponds to ________ electrolyte.",0,"['1:1', '1:2', '1:3', '1:4']",a,"Werner observed that ‘x’ mol of AgCl was precipitated per mole of CoCl<sub>3</sub>.4NH<sub>3</sub> with excess silver nitrate. Currently, there are seven groups attached to the cobalt atom. For the secondary valence to be six, one of the chloride (x=1) has to be precipitated as AgCl, therefore 1:1 electrolyte."
810,Coordination Compounds,Werner's Theory,Which is the counter ion in [Pd(NH<sub>3</sub>)<sub>4</sub>]<sup>2+</sup>2Cl<sup>–</sup>?,0,"['Pd<sup>2+</sup>', '[Pd(NH<sub>3</sub>)<sub>4</sub>]<sup>2+</sup>', 'Cl<sup>–</sup>', 'It does not have a counter ion']",c,"In coordination compounds, the ions outside the square brackets are called counter ions, and the species within the square bracket are the coordination entities."
811,Coordination Compounds,Werner's Theory,Werner proposed that the primary valences are ionizable and are satisfied only by positive ions.,0,"['True', 'False']",b,"According to Werner’s postulates, primary valences are ionizable and are satisfied by negative ions. Whereas, secondary valences are non-ionizable, and these are satisfied by neutral molecules or negative ions."
812,Coordination Compounds,Werner's Theory,"Werner postulated that octahedral, tetrahedral and square planar geometrical shapes are more common in coordination compounds of ________",0,"['', 'alkali metals', 'lanthanides', 'actinides', 'transition metals']",d,"Transition metals bond a bit differently from main group elements. They form coordinate covalent bonds and are often the central metal ion/atom of coordination complexes. Thus, octahedral, tetrahedral and square planar shapes are more common in transition metal central atoms."
813,Coordination Compounds,Werner's Theory,"Given that 1 mol of NiCl<sub>2</sub>.6H<sub>2</sub>O with excess AgNO<sub>3</sub> precipitates 2 mols of AgCl, what is the secondary valence of Ni?",0,"['1', '2', '4', '6']",d,"After the reaction, it will form [Ni(H<sub>2</sub>O)<sub>6</sub>]<sup>2-</sup> and 2Cl<sup>–</sup> in which the former is the coordination complex. There are six water molecules bound to Ni, which makes the secondary valence of Ni as 6."
814,Coordination Compounds,Werner's Theory,"If Pt in PtCl<sub>4</sub>.2HCl has a secondary valence of 6, how many mols of AgCl will 1 mol of the compound precipitate with excess AgNO<sub>3</sub>?",0,"['0', '1', '2', '4']",a,"Since the secondary valence is 6, the compound should have six groups linked to Pt atom. But it already has six groups linked to it and cannot lose any Cl atoms to form AgCl. Hence, no AgCl will be produced."
815,Coordination Compounds,Werner's Theory,What is the sum of the oxidation number of cobalt in [Co(H<sub>2</sub>O)(CN)(en)<sub>2</sub>]<sup>2+</sup>and [CoBr<sub>2</sub>(en)<sub>2</sub>]<sup>+</sup>?,0,"['+3', '+4', '+5', '+6']",d,"In [Co(H<sub>2</sub>O)(CN)(en)<sub>2</sub>]<sup>2+</sup>, the overall charge is +2 and 0, -1 and 0 on H<sub>2</sub>O, CN and en groups respectively. If ‘x’ is the oxidation number of Co, then (x + 0 – 1 + 0 = +2), which implies x=+3. Similarly, in [CoBr<sub>2</sub>(en)<sub>2</sub>]<sup>+</sup>, the charge on Br is -1, so if ‘y’ is the oxidation number of Co, then (y – 2 + 0 = +1), which implies y=+3. Therefore, the sum of the oxidation numbers is 3 + 3 = 6."
816,Coordination Compounds,Werner's Theory,Predict the secondary valence of Pt within the complex ion from the equation shown below.,0,"['<noscript><img alt=""Find the secondary valence of Pt within the complex ion from the equation"" class=""alignnone size-full wp-image-270260"" height=""118"" sizes=""(max-width: 563px) 100vw, 563px"" src=""https://www.sanfoundry.com/wp-content/uploads/2020/03/chemistry-questions-answers-werners-theory-coordination-compounds-q10.png"" srcset=""https://www.sanfoundry.com/wp-content/uploads/2020/03/chemistry-questions-answers-werners-theory-coordination-compounds-q10.png 563w, https://www.sanfoundry.com/wp-content/uploads/2020/03/chemistry-questions-answers-werners-theory-coordination-compounds-q10-300x63.png 300w"" width=""563""/></noscript><img alt=""Find the secondary valence of Pt within the complex ion from the equation"" class=""lazyload alignnone size-full wp-image-270260"" data-sizes=""(max-width: 563px) 100vw, 563px"" data-src=""https://www.sanfoundry.com/wp-content/uploads/2020/03/chemistry-questions-answers-werners-theory-coordination-compounds-q10.png"" data-srcset=""https://www.sanfoundry.com/wp-content/uploads/2020/03/chemistry-questions-answers-werners-theory-coordination-compounds-q10.png 563w, https://www.sanfoundry.com/wp-content/uploads/2020/03/chemistry-questions-answers-werners-theory-coordination-compounds-q10-300x63.png 300w"" height=""118"" src=""data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20563%20118%22%3E%3C/svg%3E"" width=""563""/>', '1', '3', '6', '9']",c,It is given that 3 parts of the platinum chloride compounds in excess silver nitrate gives 9 parts of AgCl and 3 parts of the complex ion. There are two approaches to this:
817,Coordination Compounds,Werner's Theory,What is the primary valence of iron in the coordination entity of compound Fe<sub>4</sub>[Fe(CN)<sub>6</sub>]<sub>3</sub>?,0,"['0', '+2', '+3', '+4']",b,"This compound, also known as Prussian blue, dissociates into 4 Fe<sup>3+</sup> and 3[Fe(CN)<sub>6</sub>]<sup>4-</sup> ions, of which the latter is the coordination entity having a charge of -4. The Fe atom in question is the one inside the bracket. Since CN has a charge of -1 and there are 6 of them, the primary valence of Fe will be 6 – 4 = +2."
818,Coordination Compounds,Werner's Theory,[Fe(CN)<sub>6</sub>]<sup>4-</sup> is an example of a _______,0,"['Coordination compound', 'Complex ion', 'Double salt', 'Complex salt']",b,"[Fe(CN)<sub>6</sub>]<sup>4-</sup> is the coordination complex ion of the coordination compound K<sub>4</sub>[Fe(CN<sub>6</sub>)], or potassium ferrocyanide, which is also a complex salt. Coordination complexes are also known as coordination entities."
819,Coordination Compounds,Werner's Theory,Which of the following is a complex salt?,0,"['Potassium aluminium sulphate', 'Ammonium iron(ll) sulphate', 'Carnallite', 'Potassium ferrocyanide']",d,"Potassium ferrocyanide, K<sub>4</sub>[Fe(CN<sub>6</sub>)], is a complex salt that does not dissociate into Fe<sup>2+</sup> and CN<sup>–</sup> ions when dissolved in water. The other three, i.e., potash alum, carnallite and Mohr’s salt are double salt that dissociate into simple ions completely when dissolved in water."
820,Coordination Compounds,Werner's Theory,"The compound tetraamminecopper(II) sulphate, or [Cu(NH<sub>3</sub>)<sub>4</sub>]SO<sub>4</sub>.5H<sub>2</sub>O, a double salt.",0,"['True', 'False']",b,"The given compound is a coordination compound made of a complex ion, i.e., [Cu(NH<sub>3</sub>)<sub>4</sub>]<sup>2+</sup> which does not dissociate into its constituent ions when dissolved. Hence, it is a complex salt and not a double salt."
821,Coordination Compounds,Definitions,Which of the following is the coordination entity in K<sub>2</sub>[Zn(OH)<sub>4</sub>]?,0,"['K<sup>+</sup>', 'Zn<sup>2+</sup>', 'OH<sup>–</sup>', '[Zn(OH)<sub>4</sub>]<sup>2-</sup>']",d,"A coordination entity consists of a central metal atom bonded to a fixed number of atoms/molecules. Here, K<sup>+</sup> is the counter ion, OH is the molecule bonded to the central atom which is Zn."
822,Coordination Compounds,Definitions,The central atom/ion of a coordination complex is also referred to as ________,0,"['Lewis acid', 'Lewis base', 'Bronsted-Lowry acid', 'Bronsted-Lowry base']",a,"A Lewis acid is a species that can accept an electron pair. All cations are Lewis acids. Since the central atom of a coordination complex is metal and always accept electrons, it is a Lewis acid."
823,Coordination Compounds,Definitions,Identify the Lewis acid in K<sub>3</sub>[Al(C<sub>2</sub>O<sub>4</sub>)<sub>3</sub>].,0,"['K<sup>+</sup>', 'Al', 'Al<sup>3+</sup>', '[Al(C<sub>2</sub>O<sub>4</sub>)<sub>3</sub>]<sup>3-</sup>']",c,Aluminium ion is the Lewis acid as it can accept 3 electrons from the donor atom to form the complex [Al(C<sub>2</sub>O<sub>4</sub>)<sub>3</sub>]<sup>3-</sup>.
824,Coordination Compounds,Definitions,Which of the following is the central atom/ion in [CoCl(NH<sub>3</sub>)<sub>5</sub>]<sup>2+</sup>?,0,"['Co', 'Co<sup>2+</sup>', 'Co<sup>3+</sup>', 'Cl<sup>–</sup>']",c,"The central ion in the given complex ion is cobalt as it accepts electrons to form a bond with Cl atom and ammonia molecules. Since the primary valence of Co in this compound is +3, the ion in Co<sup>3+</sup>."
825,Coordination Compounds,Definitions,Which of the following cannot be a ligand?,0,"['Ni<sup>2+</sup>', 'Cl<sup>–</sup>', 'H<sub>2</sub>O', 'NH<sub>3</sub>']",a,"The ions/molecules bound to the central atom/ion is called a ligand. Ni<sup>2+</sup> is a metal ion, and according to Werner the secondary valences can be satisfied only by neutral molecules or negative ions. Cl<sup>–</sup>, H<sub>2</sub>O and NH<sub>3</sub> are all possible ligands."
826,Coordination Compounds,Definitions,How many donor atoms can EDTA<sup>4-</sup> ligand bind through?,0,"['2', '4', '6', '8']",c,"EDTA<sup>4-</sup> is a hexadentate ligand which can bind through two nitrogen and four oxygen atoms to a central metal ion, giving it a total of 2 + 4 = 6 donor atoms."
